business_id,funny_votes_mean,useful_votes_mean,cool_votes_mean,mean_review_ratings,median_review_ratings,std_review_ratings,review_count,business_rating,open
--5jkZ3-nUPZxUvtcbr8Uw,0.45454545454545453,0.8181818181818182,0.45454545454545453,4.090909090909091,4.0,0.8893306982833162,3,5.0,True
--BlvDO_RG2yElKu9XA1_g,0.6216216216216216,1.864864864864865,1.1891891891891893,3.689189189189189,4.0,0.8846794095363912,5,5.0,True
-0QBrNvhrPQCaeo7mTo0zQ,0.3333333333333333,0.0,0.0,4.333333333333333,4.0,0.5773502691896257,5,3.5,True
-0bUDim5OGuv8R0Qqq6J4A,0.3333333333333333,0.3333333333333333,0.16666666666666666,3.25,3.5,0.9354143466934853,14,3.5,True
-0xwm_AwS0d_5rwUprHGuw,1.625,2.25,1.75,3.5,3.5,0.8164965809277259,6,4.5,True
-1-sUowC7fJ-cn7mCxvJ5w,0.0,0.6666666666666666,0.0,3.1666666666666665,3.0,1.755942292142123,21,3.5,True
-1N0Z3uM8xbxKS8XiAnaog,1.0,1.3333333333333333,1.3333333333333333,2.1666666666666665,2.5,0.5773502691896258,4,5.0,True
-1bOb2izeJBZjHC7NWxiPA,0.66,1.24,0.78,3.59,3.5,0.7538337390449229,14,5.0,True
-2xCV0XGD9NxfWaVwA1-DQ,0.0,1.0,0.25,3.75,4.0,0.9574271077563382,10,3.5,True
-3WVw1TNQbPBzaKCaQQ1AQ,0.5034965034965035,1.832167832167832,1.3146853146853146,3.63986013986014,4.0,0.7836480113249195,5,4.0,True
-3xbryp44xhpN4BohxXDdQ,0.3870967741935484,1.0161290322580645,0.4838709677419355,3.6451612903225805,3.5,0.8267410678266169,3,3.0,True
-4A5xmN21zi_TXnUESauUQ,0.644,1.148,0.728,4.054,4.25,0.7928419726366013,55,4.0,True
-4QayefhaPXm6wPp-Zpb0A,0.0,1.3333333333333333,0.3333333333333333,4.0,4.5,1.3228756555322954,7,4.5,True
-4zMr3jk0ykmsk5sxsQMlA,0.5,1.0,0.5,4.125,4.25,0.47871355387816905,11,4.0,True
-5EWgRkudDlcCbQSIL_twA,1.1666666666666667,2.8333333333333335,1.5833333333333333,2.7083333333333335,2.5,0.7821396449755147,12,5.0,True
-5IgAihccTd8_iENVgpd9A,0.0,0.6666666666666666,0.0,3.8333333333333335,4.0,0.7637626158259733,23,4.0,True
-5XAZC1hC6G0NDkmPyhmUg,1.2,1.8,1.6,4.1,4.5,0.6519202405202649,15,4.0,True
-5rFC4EVrT-v8g1PSEf6Xg,0.3939393939393939,1.5757575757575757,0.5151515151515151,3.893939393939394,4.0,0.7980207523693361,8,4.5,True
-65rmLRQ5JDwI-l8UDEV7Q,0.0,0.3333333333333333,0.0,3.1666666666666665,2.5,1.1547005383792515,4,5.0,True
-6yIYUuwYcZnClI_8_ojVg,0.0,0.6666666666666666,0.0,2.3333333333333335,2.0,1.0408329997330665,3,2.5,True
-7XuLxfYwZ9x72mEKXdv0A,1.4,3.8,2.2,4.1,4.5,0.8215838362577493,54,4.5,True
-8IvK1VBMRqYY6CQzD6arg,0.6153846153846154,1.4615384615384615,0.8461538461538461,3.5384615384615383,3.5,0.8026398751811232,15,4.0,True
-8PVP-Pnv232xPOUgPrxmg,0.0,0.0,0.3333333333333333,4.0,4.0,0.5,5,3.5,True
-8Z6AiHwXInpnl6Q1Ey_5w,0.0,0.25,0.0,3.125,2.75,0.9464847243000457,9,3.0,True
-8aZ0v511M1zpoZAC3N3VA,0.2857142857142857,1.2857142857142858,0.42857142857142855,3.857142857142857,4.0,1.2149857925879117,5,5.0,True
